locus_tag	ftype	length_bp	gene	EC_number	COG	product
54138_Lkimchicus_00679	CDS	2667				hypothetical protein
54138_Lkimchicus_00680	CDS	663	budC	1.1.1.304		Diacetyl reductase [(S)-acetoin forming]
54138_Lkimchicus_00681	CDS	363				hypothetical protein
54138_Lkimchicus_00682	CDS	510				hypothetical protein
54138_Lkimchicus_00683	CDS	261	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
54138_Lkimchicus_00684	CDS	345	thiE_2	2.5.1.3		Thiamine-phosphate synthase
54138_Lkimchicus_00685	CDS	201				hypothetical protein
54138_Lkimchicus_00686	CDS	654				hypothetical protein
54138_Lkimchicus_00687	CDS	777	thiG	2.8.1.10	COG2022	Thiazole synthase
54138_Lkimchicus_00688	CDS	1215	pucF	3.5.3.9	COG0624	Allantoate amidohydrolase
54138_Lkimchicus_00689	CDS	219				hypothetical protein
54138_Lkimchicus_00690	CDS	1074	gltP		COG1301	Proton/glutamate-aspartate symporter
54138_Lkimchicus_00691	CDS	225				hypothetical protein
54138_Lkimchicus_00692	CDS	1914	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
54138_Lkimchicus_00693	CDS	1392	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
54138_Lkimchicus_00694	CDS	747				hypothetical protein
54138_Lkimchicus_00695	CDS	831	misCA		COG0706	Membrane protein insertase MisCA
54138_Lkimchicus_00696	CDS	363	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
54138_Lkimchicus_00697	CDS	1332	dnaA		COG0593	Chromosomal replication initiator protein DnaA
54138_Lkimchicus_00698	CDS	1140	dnaN		COG0592	Beta sliding clamp
54138_Lkimchicus_00699	CDS	228				hypothetical protein
54138_Lkimchicus_00700	CDS	1125	recF		COG1195	DNA replication and repair protein RecF
54138_Lkimchicus_00701	CDS	1941	gyrB	5.99.1.3	COG0187	DNA gyrase subunit B
54138_Lkimchicus_00702	CDS	2517	gyrA	5.99.1.3	COG0188	DNA gyrase subunit A
54138_Lkimchicus_00703	CDS	288	rpsF		COG0360	30S ribosomal protein S6
54138_Lkimchicus_00704	CDS	540	ssbA		COG0629	Single-stranded DNA-binding protein A
54138_Lkimchicus_00705	CDS	237	rpsR		COG0238	30S ribosomal protein S18
54138_Lkimchicus_00706	CDS	408	hchA	4.2.1.130		Molecular chaperone Hsp31 and glyoxalase 3
54138_Lkimchicus_00707	CDS	162				hypothetical protein
54138_Lkimchicus_00708	CDS	342				hypothetical protein
54138_Lkimchicus_00709	CDS	123				hypothetical protein
54138_Lkimchicus_00710	CDS	153	rpmG1		COG0267	50S ribosomal protein L33 1
54138_Lkimchicus_00711	CDS	369				hypothetical protein
54138_Lkimchicus_00712	CDS	909	psaA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
54138_Lkimchicus_00713	CDS	1428	emrB_1			Multidrug export protein EmrB
54138_Lkimchicus_00714	CDS	2025	gdpP	3.1.4.-	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
54138_Lkimchicus_00715	CDS	453	rplI			50S ribosomal protein L9
54138_Lkimchicus_00716	CDS	1398	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
54138_Lkimchicus_00717	CDS	1176				hypothetical protein
54138_Lkimchicus_00718	CDS	456			COG2153	UPF0039 protein Rv2851c
54138_Lkimchicus_00719	CDS	1671	alsS	2.2.1.6	COG0028	Acetolactate synthase
54138_Lkimchicus_00720	CDS	714	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
54138_Lkimchicus_00721	CDS	1371	npr	1.11.1.1	COG0446	NADH peroxidase
54138_Lkimchicus_00722	tRNA	75				tRNA-Lys(ctt)
54138_Lkimchicus_00723	CDS	720	walR		COG0745	Transcriptional regulatory protein WalR
54138_Lkimchicus_00724	CDS	1875	walK	2.7.13.3		Sensor histidine kinase WalK
54138_Lkimchicus_00725	CDS	1299				hypothetical protein
54138_Lkimchicus_00726	CDS	834				hypothetical protein
54138_Lkimchicus_00727	CDS	807	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
54138_Lkimchicus_00728	CDS	1296	htrA	3.4.21.107	COG0265	Serine protease Do-like HtrA
54138_Lkimchicus_00729	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
54138_Lkimchicus_00730	CDS	1872				hypothetical protein
54138_Lkimchicus_00731	CDS	2424	smc_3			Chromosome partition protein Smc
54138_Lkimchicus_00732	CDS	369				hypothetical protein
54138_Lkimchicus_00733	CDS	1158				hypothetical protein
54138_Lkimchicus_00734	CDS	606				hypothetical protein
54138_Lkimchicus_00735	CDS	279				hypothetical protein
54138_Lkimchicus_00736	CDS	354				hypothetical protein
54138_Lkimchicus_00737	CDS	1761				hypothetical protein
54138_Lkimchicus_00738	CDS	894	benM			HTH-type transcriptional regulator BenM
54138_Lkimchicus_00739	CDS	375	ygeA	5.-.-.-	COG1794	Putative racemase YgeA
54138_Lkimchicus_00740	CDS	180				hypothetical protein
54138_Lkimchicus_00741	CDS	951		1.3.1.103		2-haloacrylate reductase
54138_Lkimchicus_00742	CDS	111				hypothetical protein
54138_Lkimchicus_00743	CDS	1254	clcB			Voltage-gated ClC-type chloride channel ClcB
54138_Lkimchicus_00744	CDS	507				hypothetical protein
54138_Lkimchicus_00745	CDS	378				hypothetical protein
54138_Lkimchicus_00746	CDS	591				hypothetical protein
54138_Lkimchicus_00747	CDS	1938	tetO			Tetracycline resistance protein TetO
54138_Lkimchicus_00748	CDS	627	nth	4.2.99.18		Endonuclease III
54138_Lkimchicus_00749	CDS	543				hypothetical protein
54138_Lkimchicus_00750	CDS	1185		3.5.1.47		N-acetyldiaminopimelate deacetylase
54138_Lkimchicus_00751	CDS	699	ydfK		COG1811	Uncharacterized membrane protein YdfK
54138_Lkimchicus_00752	CDS	627	argO		COG1279	Arginine exporter protein ArgO
54138_Lkimchicus_00753	CDS	828				hypothetical protein
54138_Lkimchicus_00754	CDS	288	ycnE	1.-.-.-	COG1359	Putative monooxygenase YcnE
54138_Lkimchicus_00755	CDS	438				hypothetical protein
54138_Lkimchicus_00756	CDS	1623	ybiT_1		COG0488	Uncharacterized ABC transporter ATP-binding protein YbiT
54138_Lkimchicus_00757	CDS	498				hypothetical protein
54138_Lkimchicus_00758	CDS	1371	pepDA_2	3.4.-.-	COG4690	Dipeptidase A
54138_Lkimchicus_00759	CDS	771		1.1.1.391	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2
54138_Lkimchicus_00760	CDS	723	kdpB	3.6.3.12		Potassium-transporting ATPase ATP-binding subunit
54138_Lkimchicus_00761	CDS	1083	ziaA	3.6.3.5		Zinc-transporting ATPase
54138_Lkimchicus_00762	CDS	675				hypothetical protein
54138_Lkimchicus_00763	CDS	690	qorB_1	1.6.5.2	COG0702	Quinone oxidoreductase 2
54138_Lkimchicus_00764	CDS	186				hypothetical protein
54138_Lkimchicus_00765	CDS	948	osmV	3.6.3.-	COG1125	Osmoprotectant import ATP-binding protein OsmV
54138_Lkimchicus_00766	CDS	1533				hypothetical protein
54138_Lkimchicus_00767	CDS	957		1.3.1.103		2-haloacrylate reductase
54138_Lkimchicus_00768	CDS	927	rihC_1	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
54138_Lkimchicus_00769	CDS	267				hypothetical protein
54138_Lkimchicus_00770	CDS	270	yoeB	3.1.-.-	COG4115	Toxin YoeB
54138_Lkimchicus_00771	CDS	339				hypothetical protein
54138_Lkimchicus_00772	CDS	321				hypothetical protein
54138_Lkimchicus_00773	CDS	1365	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
54138_Lkimchicus_00774	CDS	1191				hypothetical protein
54138_Lkimchicus_00775	CDS	519				hypothetical protein
54138_Lkimchicus_00776	CDS	432				hypothetical protein
54138_Lkimchicus_00777	CDS	876	azoB	1.7.-.-		NAD(P)H azoreductase
54138_Lkimchicus_00778	CDS	1347	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
54138_Lkimchicus_00779	CDS	1122	xylB_1	1.1.1.90		Aryl-alcohol dehydrogenase
54138_Lkimchicus_00780	CDS	408				hypothetical protein
54138_Lkimchicus_00781	CDS	732				hypothetical protein
54138_Lkimchicus_00782	CDS	1329	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
54138_Lkimchicus_00783	CDS	537				hypothetical protein
54138_Lkimchicus_00784	CDS	639	betI			HTH-type transcriptional regulator BetI
54138_Lkimchicus_00785	CDS	1149	ybhR		COG0842	Probable multidrug ABC transporter permease YbhR
54138_Lkimchicus_00786	CDS	726	ybhF		COG1131	Probable multidrug ABC transporter ATP-binding protein YbhF
54138_Lkimchicus_00787	CDS	1293	ydjE_2			Inner membrane metabolite transport protein YdjE
54138_Lkimchicus_00788	CDS	900	Dml	4.1.3.32		2,3-dimethylmalate lyase
54138_Lkimchicus_00789	CDS	918	prpB	4.1.3.30		2-methylisocitrate lyase
54138_Lkimchicus_00790	CDS	714	msbA	3.6.3.-	COG1132	Lipid A export ATP-binding/permease protein MsbA
54138_Lkimchicus_00791	CDS	1044			COG1132	Uncharacterized ABC transporter ATP-binding protein TM_0288
54138_Lkimchicus_00792	CDS	801		4.3.2.3		Ureidoglycolate lyase
54138_Lkimchicus_00793	CDS	816	msrA_3	1.8.4.11		Peptide methionine sulfoxide reductase MsrA
54138_Lkimchicus_00794	CDS	1305	gltB	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
54138_Lkimchicus_00795	CDS	1182	gltA_1	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
54138_Lkimchicus_00796	CDS	1557	gltA_2	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
54138_Lkimchicus_00797	CDS	540				hypothetical protein
54138_Lkimchicus_00798	CDS	228				hypothetical protein
54138_Lkimchicus_00799	CDS	1908	cadA	3.6.3.3		Cadmium-transporting ATPase
54138_Lkimchicus_00800	CDS	1179				hypothetical protein
54138_Lkimchicus_00801	CDS	306				hypothetical protein
54138_Lkimchicus_00802	CDS	1623	dppE_1		COG4166	Dipeptide-binding protein DppE
54138_Lkimchicus_00803	CDS	894	yghA	1.-.-.-		Uncharacterized oxidoreductase YghA
54138_Lkimchicus_00804	CDS	891				hypothetical protein
54138_Lkimchicus_00805	CDS	969		3.2.1.55	COG3940	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
54138_Lkimchicus_00806	CDS	1248	rafB			Raffinose permease
54138_Lkimchicus_00807	CDS	216				hypothetical protein
54138_Lkimchicus_00808	CDS	1374		1.-.-.-	COG0277	Uncharacterized FAD-linked oxidoreductase Rv2280
54138_Lkimchicus_00809	CDS	1176	bacF	2.6.1.-	COG0436	Transaminase BacF
54138_Lkimchicus_00810	CDS	663	metP_1		COG2011	Methionine import system permease protein MetP
54138_Lkimchicus_00811	CDS	1023	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
54138_Lkimchicus_00812	CDS	837	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
54138_Lkimchicus_00813	CDS	1326	kgtP			Alpha-ketoglutarate permease
54138_Lkimchicus_00814	CDS	1344	pucK_1		COG2233	Uric acid permease PucK
54138_Lkimchicus_00815	CDS	807				hypothetical protein
54138_Lkimchicus_00816	CDS	834				hypothetical protein
54138_Lkimchicus_00817	CDS	828				hypothetical protein
54138_Lkimchicus_00818	CDS	840	dkgB	1.1.1.274		2,5-diketo-D-gluconic acid reductase B
54138_Lkimchicus_00819	CDS	915	yicL		COG0697	Uncharacterized inner membrane transporter YicL
54138_Lkimchicus_00820	CDS	270				hypothetical protein
54138_Lkimchicus_00821	CDS	579				hypothetical protein
54138_Lkimchicus_00822	CDS	1806				hypothetical protein
54138_Lkimchicus_00823	CDS	312				hypothetical protein
54138_Lkimchicus_00824	CDS	324				hypothetical protein
54138_Lkimchicus_00825	CDS	1218		1.-.-.-		NADH oxidase
54138_Lkimchicus_00826	CDS	1062		6.3.1.20		Lipoate--protein ligase 2
54138_Lkimchicus_00827	CDS	843				hypothetical protein
54138_Lkimchicus_00828	CDS	285				hypothetical protein
54138_Lkimchicus_00829	CDS	558				hypothetical protein
54138_Lkimchicus_00830	CDS	1365				hypothetical protein
54138_Lkimchicus_00831	CDS	1101	hcxA	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
54138_Lkimchicus_00832	CDS	183				hypothetical protein
54138_Lkimchicus_00833	CDS	690				hypothetical protein
54138_Lkimchicus_00834	CDS	1695	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
54138_Lkimchicus_00835	CDS	1023	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
54138_Lkimchicus_00836	CDS	783	ylmA	3.6.3.-	COG1119	Uncharacterized ABC transporter ATP-binding protein YlmA
54138_Lkimchicus_00837	CDS	1341	yhjE			Inner membrane metabolite transport protein YhjE
54138_Lkimchicus_00838	CDS	1743	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
54138_Lkimchicus_00839	CDS	345				hypothetical protein
54138_Lkimchicus_00840	CDS	969	panS		COG0385	Pantothenate precursors transporter PanS
54138_Lkimchicus_00841	CDS	1230	yjhB			Putative metabolite transport protein YjhB
54138_Lkimchicus_00842	CDS	735		1.-.-.-		Uncharacterized oxidoreductase SA2266
54138_Lkimchicus_00843	CDS	1335	gntP		COG2610	High-affinity gluconate transporter
54138_Lkimchicus_00844	CDS	1188	rhaR_1			HTH-type transcriptional activator RhaR
54138_Lkimchicus_00845	CDS	1818	uidA_1	3.2.1.31	COG3250	Beta-glucuronidase
54138_Lkimchicus_00846	CDS	759	kdgR_1			Pectin degradation repressor protein KdgR
54138_Lkimchicus_00847	CDS	816	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
54138_Lkimchicus_00848	CDS	276	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
54138_Lkimchicus_00849	CDS	672	kdgK_2	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
54138_Lkimchicus_00850	CDS	651	kdgA		COG0800	KHG/KDPG aldolase
54138_Lkimchicus_00851	CDS	1383	gatC_1		COG3775	PTS system galactitol-specific EIIC component
54138_Lkimchicus_00852	CDS	171				hypothetical protein
54138_Lkimchicus_00853	CDS	249				hypothetical protein
54138_Lkimchicus_00854	CDS	1107	xylB_2	1.1.1.90		Aryl-alcohol dehydrogenase
54138_Lkimchicus_00855	CDS	177				hypothetical protein
54138_Lkimchicus_00856	CDS	381				hypothetical protein
54138_Lkimchicus_00857	CDS	1467				hypothetical protein
54138_Lkimchicus_00858	CDS	564	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
54138_Lkimchicus_00859	CDS	327				hypothetical protein
54138_Lkimchicus_00860	CDS	1452	xylP_1			Isoprimeverose transporter
54138_Lkimchicus_00861	CDS	2130	xylQ	3.2.1.177		Alpha-xylosidase XylQ
54138_Lkimchicus_00862	CDS	831	rhaS_1			HTH-type transcriptional activator RhaS
54138_Lkimchicus_00863	CDS	423				hypothetical protein
54138_Lkimchicus_00864	CDS	585				hypothetical protein
54138_Lkimchicus_00865	CDS	966	rhaR_2			HTH-type transcriptional activator RhaR
54138_Lkimchicus_00866	CDS	918	yjmB_1		COG2211	Uncharacterized symporter YjmB
54138_Lkimchicus_00867	CDS	357				hypothetical protein
54138_Lkimchicus_00868	CDS	1854				hypothetical protein
54138_Lkimchicus_00869	CDS	795				hypothetical protein
54138_Lkimchicus_00870	CDS	483				hypothetical protein
54138_Lkimchicus_00871	CDS	825				hypothetical protein
54138_Lkimchicus_00872	CDS	624				hypothetical protein
54138_Lkimchicus_00873	CDS	696				hypothetical protein
54138_Lkimchicus_00874	CDS	1296				hypothetical protein
54138_Lkimchicus_00875	CDS	597				hypothetical protein
54138_Lkimchicus_00876	CDS	1794	uidA_2	3.2.1.31	COG3250	Beta-glucuronidase
54138_Lkimchicus_00877	CDS	291				hypothetical protein
54138_Lkimchicus_00878	CDS	1086	hsrA_1			Probable transport protein HsrA
54138_Lkimchicus_00879	CDS	996	lacR_1		COG1609	HTH-type transcriptional regulator LacR
54138_Lkimchicus_00880	CDS	1392				hypothetical protein
54138_Lkimchicus_00881	CDS	1119				hypothetical protein
54138_Lkimchicus_00882	CDS	1476	manR		COG1762	Transcriptional regulator ManR
54138_Lkimchicus_00883	CDS	423				hypothetical protein
54138_Lkimchicus_00884	CDS	456				hypothetical protein
54138_Lkimchicus_00885	CDS	1365	gatC_2		COG3775	PTS system galactitol-specific EIIC component
54138_Lkimchicus_00886	CDS	291				hypothetical protein
54138_Lkimchicus_00887	CDS	207				hypothetical protein
54138_Lkimchicus_00888	CDS	1437	uidB		COG2211	Glucuronide carrier protein homolog
54138_Lkimchicus_00889	CDS	2496				hypothetical protein
54138_Lkimchicus_00890	CDS	1431	uxaC_1	5.3.1.12	COG1904	Uronate isomerase
54138_Lkimchicus_00891	CDS	882	lacX_2			Protein LacX, plasmid
54138_Lkimchicus_00892	CDS	1344				hypothetical protein
54138_Lkimchicus_00893	CDS	1647	por	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
54138_Lkimchicus_00894	CDS	993		1.1.1.81	COG0111	Hydroxypyruvate reductase
54138_Lkimchicus_00895	CDS	675	rspR		COG1802	HTH-type transcriptional repressor RspR
54138_Lkimchicus_00896	CDS	1545	xylB_3	2.7.1.17	COG1070	Xylulose kinase
54138_Lkimchicus_00897	CDS	945	kdgK_3	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
54138_Lkimchicus_00898	CDS	1074	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
54138_Lkimchicus_00899	CDS	549				hypothetical protein
54138_Lkimchicus_00900	CDS	207				hypothetical protein
54138_Lkimchicus_00901	CDS	693				hypothetical protein
54138_Lkimchicus_00902	CDS	900		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
54138_Lkimchicus_00903	CDS	1440	yjmB_2		COG2211	Uncharacterized symporter YjmB
54138_Lkimchicus_00904	CDS	1599				hypothetical protein
54138_Lkimchicus_00905	CDS	1419	uxaC_2	5.3.1.12	COG1904	Uronate isomerase
54138_Lkimchicus_00906	CDS	996	exuR		COG1609	Probable HTH-type transcriptional repressor ExuR
54138_Lkimchicus_00907	CDS	216				hypothetical protein
54138_Lkimchicus_00908	CDS	1116				hypothetical protein
54138_Lkimchicus_00909	CDS	807			COG0834	Probable amino-acid ABC transporter-binding protein HI_1080
54138_Lkimchicus_00910	CDS	1251	dapE_1	3.5.1.18		Probable succinyl-diaminopimelate desuccinylase
54138_Lkimchicus_00911	CDS	759	yxeP_1	3.-.-.-	COG1473	Uncharacterized hydrolase YxeP
54138_Lkimchicus_00912	CDS	438	yxeP_2	3.-.-.-	COG1473	Uncharacterized hydrolase YxeP
54138_Lkimchicus_00913	CDS	1335	dapE_2	3.5.1.18		Succinyl-diaminopimelate desuccinylase
54138_Lkimchicus_00914	CDS	1605	oppA_1		COG4166	Oligopeptide-binding protein OppA
54138_Lkimchicus_00915	CDS	1191			COG1228	Uncharacterized protein Rv2915c
54138_Lkimchicus_00916	CDS	381				hypothetical protein
54138_Lkimchicus_00917	CDS	498				hypothetical protein
54138_Lkimchicus_00918	CDS	783	yxeN_1			Probable amino-acid permease protein YxeN
54138_Lkimchicus_00919	CDS	750	tcyN_1	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyN
54138_Lkimchicus_00920	CDS	453		2.3.1.-		Acetyltransferase SACOL1063
54138_Lkimchicus_00921	CDS	1329	garB	1.8.1.16		Glutathione amide reductase
54138_Lkimchicus_00922	CDS	462				hypothetical protein
54138_Lkimchicus_00923	CDS	1980	macB_1	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
54138_Lkimchicus_00924	CDS	1308	umuC		COG0389	Protein UmuC
54138_Lkimchicus_00925	CDS	156				hypothetical protein
54138_Lkimchicus_00926	CDS	165				hypothetical protein
54138_Lkimchicus_00927	CDS	384				hypothetical protein
54138_Lkimchicus_00928	CDS	957	tdh	1.1.1.103		L-threonine 3-dehydrogenase
54138_Lkimchicus_00929	CDS	981	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
54138_Lkimchicus_00930	CDS	111				hypothetical protein
54138_Lkimchicus_00931	CDS	1626	dppE_2		COG4166	Dipeptide-binding protein DppE
54138_Lkimchicus_00932	CDS	525				hypothetical protein
54138_Lkimchicus_00933	CDS	558			COG1228	Uncharacterized protein Rv2915c
54138_Lkimchicus_00934	CDS	204				hypothetical protein
54138_Lkimchicus_00935	CDS	111				hypothetical protein
54138_Lkimchicus_00936	CDS	2133	clpC_1			Probable ATP-dependent Clp protease ATP-binding subunit
54138_Lkimchicus_00937	CDS	1725				hypothetical protein
54138_Lkimchicus_00938	CDS	900	gshAB_1			Glutathione biosynthesis bifunctional protein GshAB
54138_Lkimchicus_00939	CDS	384	gshAB_2		COG1181	Glutathione biosynthesis bifunctional protein GshAB
54138_Lkimchicus_00940	CDS	276	cdr_1	1.8.1.14		Coenzyme A disulfide reductase
54138_Lkimchicus_00941	CDS	951	cdr_2	1.8.1.14		Coenzyme A disulfide reductase
54138_Lkimchicus_00942	CDS	528	bioY		COG1268	Biotin transporter BioY
54138_Lkimchicus_00943	CDS	447	fabZ_1	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
54138_Lkimchicus_00944	CDS	468				hypothetical protein
54138_Lkimchicus_00945	CDS	978	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
54138_Lkimchicus_00946	CDS	246	acpP			Acyl carrier protein
54138_Lkimchicus_00947	CDS	903	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
54138_Lkimchicus_00948	CDS	720	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
54138_Lkimchicus_00949	CDS	1221	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
54138_Lkimchicus_00950	CDS	426	accB			Biotin carboxyl carrier protein of acetyl-CoA carboxylase
54138_Lkimchicus_00951	CDS	417	fabZ_2	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
54138_Lkimchicus_00952	CDS	1374	accC	6.3.4.14	COG0439	Biotin carboxylase
54138_Lkimchicus_00953	CDS	831	accD	6.4.1.2	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
54138_Lkimchicus_00954	CDS	771	accA	6.4.1.2	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
54138_Lkimchicus_00955	CDS	756	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
54138_Lkimchicus_00956	CDS	810	birA	6.3.4.15		Bifunctional ligase/repressor BirA
54138_Lkimchicus_00957	CDS	1398	gshAB_3			Glutathione biosynthesis bifunctional protein GshAB
54138_Lkimchicus_00958	CDS	1053				hypothetical protein
54138_Lkimchicus_00959	CDS	759	cpnA	1.1.1.163		Cyclopentanol dehydrogenase
54138_Lkimchicus_00960	CDS	402				hypothetical protein
54138_Lkimchicus_00961	CDS	1581	mntH_1			Divalent metal cation transporter MntH
54138_Lkimchicus_00962	CDS	507				hypothetical protein
54138_Lkimchicus_00963	CDS	936				hypothetical protein
54138_Lkimchicus_00964	CDS	372				hypothetical protein
54138_Lkimchicus_00965	CDS	945		1.1.1.-		L-2-hydroxyisocaproate dehydrogenase
54138_Lkimchicus_00966	CDS	1200	tetA_1			Tetracycline resistance protein, class B
54138_Lkimchicus_00967	CDS	597	sipT	3.4.21.89	COG0681	Signal peptidase I T
54138_Lkimchicus_00968	CDS	561	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
54138_Lkimchicus_00969	CDS	597	tag_1	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
54138_Lkimchicus_00970	CDS	921	rhaS_2			HTH-type transcriptional activator RhaS
54138_Lkimchicus_00971	CDS	963				hypothetical protein
54138_Lkimchicus_00972	CDS	1491				hypothetical protein
54138_Lkimchicus_00973	CDS	462				hypothetical protein
54138_Lkimchicus_00974	CDS	543				hypothetical protein
54138_Lkimchicus_00975	CDS	549				hypothetical protein
54138_Lkimchicus_00976	CDS	504	hypBA1_1	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
54138_Lkimchicus_00977	CDS	282	hypBA1_2	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
54138_Lkimchicus_00978	CDS	1236	hypBA1_3	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
54138_Lkimchicus_00979	CDS	954				hypothetical protein
54138_Lkimchicus_00980	CDS	1878			COG1132	Uncharacterized ABC transporter ATP-binding protein Rv1272c
54138_Lkimchicus_00981	CDS	1737			COG1132	Uncharacterized ABC transporter ATP-binding protein Rv1273c
54138_Lkimchicus_00982	CDS	369			COG4475	UPF0340 protein TT_C0214
54138_Lkimchicus_00983	CDS	261				hypothetical protein
54138_Lkimchicus_00984	CDS	435				hypothetical protein
54138_Lkimchicus_00985	CDS	192				hypothetical protein
54138_Lkimchicus_00986	CDS	2055				hypothetical protein
54138_Lkimchicus_00987	CDS	453	ulaC		COG1762	Ascorbate-specific PTS system EIIA component
54138_Lkimchicus_00988	CDS	297				hypothetical protein
54138_Lkimchicus_00989	CDS	1377	ulaA		COG3037	Ascorbate-specific PTS system EIIC component
54138_Lkimchicus_00990	CDS	1983	tkt_1	2.2.1.1		Transketolase
54138_Lkimchicus_00991	CDS	756	tal	2.2.1.2	COG0176	Transaldolase
54138_Lkimchicus_00992	CDS	2028	tkt_2	2.2.1.1		Transketolase
54138_Lkimchicus_00993	CDS	708	glpF		COG0580	Glycerol uptake facilitator protein
54138_Lkimchicus_00994	CDS	768	kduD_2	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
54138_Lkimchicus_00995	CDS	171	tenA_1	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
54138_Lkimchicus_00996	CDS	240				hypothetical protein
54138_Lkimchicus_00997	CDS	231	tenA_2	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
54138_Lkimchicus_00998	CDS	825	ybjI_1	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
54138_Lkimchicus_00999	CDS	417				hypothetical protein
54138_Lkimchicus_01000	CDS	987	kdgR_2		COG1609	HTH-type transcriptional regulator KdgR
54138_Lkimchicus_01001	CDS	258				hypothetical protein
54138_Lkimchicus_01002	CDS	750				hypothetical protein
54138_Lkimchicus_01003	CDS	1293				hypothetical protein
54138_Lkimchicus_01004	CDS	963	kdgK_4	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
54138_Lkimchicus_01005	CDS	624		4.1.2.43		3-hexulose-6-phosphate synthase
54138_Lkimchicus_01006	CDS	543	hxlB	5.3.1.27	COG0794	3-hexulose-6-phosphate isomerase
54138_Lkimchicus_01007	CDS	624				hypothetical protein
54138_Lkimchicus_01008	CDS	381				hypothetical protein
54138_Lkimchicus_01009	CDS	1623				hypothetical protein
54138_Lkimchicus_01010	CDS	912	nosF		COG1131	Probable ABC transporter ATP-binding protein NosF
54138_Lkimchicus_01011	CDS	606				hypothetical protein
54138_Lkimchicus_01012	CDS	1758	lmrA	3.6.3.44	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
54138_Lkimchicus_01013	CDS	681				hypothetical protein
54138_Lkimchicus_01014	CDS	711				hypothetical protein
54138_Lkimchicus_01015	CDS	1359	yifK_1		COG1113	Probable transport protein YifK
54138_Lkimchicus_01016	CDS	939	corA		COG0598	Cobalt/magnesium transport protein CorA
