"","qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"5823","ASV6124","NODE_20_length_935_cov_380.679455",87.375,301,35,3,118,416,351,52,6.64e-95,342
"5824","ASV6125","NODE_20_length_935_cov_380.679455",86.323,446,54,6,1,443,493,52,5.18e-136,479
"5825","ASV6127","NODE_20_length_935_cov_380.679455",94.898,294,15,0,129,422,345,52,1.78e-130,460
"5826","ASV6127","NODE_32_length_255_cov_157.070312",96.053,76,3,0,347,422,1,76,2.66e-29,124
"5827","ASV6127","NODE_19_length_1017_cov_348.064045",96.053,76,3,0,347,422,1,76,2.66e-29,124
"5828","ASV6128","NODE_20_length_935_cov_380.679455",88.462,442,51,0,1,442,493,52,1.09e-152,534
"5829","ASV6131","NODE_20_length_935_cov_380.679455",82.178,303,49,5,118,418,351,52,8.95e-69,255
"5830","ASV6133","NODE_20_length_935_cov_380.679455",83.333,306,39,12,119,418,351,52,8.89e-74,272
"5831","ASV6135","NODE_20_length_935_cov_380.679455",86.907,443,34,11,1,420,493,52,6.34e-135,475
"5832","ASV6135","NODE_32_length_255_cov_157.070312",94.737,76,4,0,345,420,1,76,1.23e-27,119
"5833","ASV6135","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,345,420,1,76,1.23e-27,119
"5834","ASV6136","NODE_20_length_935_cov_380.679455",80.124,322,60,4,103,422,371,52,3.27e-63,237
"5835","ASV6139","NODE_20_length_935_cov_380.679455",90.112,445,38,6,1,442,493,52,2.31e-164,573
"5836","ASV6139","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5837","ASV6139","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5838","ASV6140","NODE_20_length_935_cov_380.679455",94.558,294,16,0,129,422,345,52,8.3e-129,455
"5839","ASV6140","NODE_32_length_255_cov_157.070312",94.737,76,4,0,347,422,1,76,1.24e-27,119
"5840","ASV6140","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,347,422,1,76,1.24e-27,119
"5841","ASV6141","NODE_20_length_935_cov_380.679455",76.846,298,61,7,129,422,345,52,2.03e-40,161
"5842","ASV6142","NODE_20_length_935_cov_380.679455",90.112,445,38,4,1,442,493,52,2.31e-164,573
"5843","ASV6142","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5844","ASV6142","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5845","ASV6147","NODE_20_length_935_cov_380.679455",80.132,302,44,14,124,417,345,52,1.96e-55,211
"5846","ASV6148","NODE_20_length_935_cov_380.679455",83.258,442,54,13,1,422,493,52,8.54e-109,388
"5847","ASV6150","NODE_20_length_935_cov_380.679455",78.842,449,83,8,1,444,493,52,7.27e-80,292
"5848","ASV6152","NODE_20_length_935_cov_380.679455",79.73,296,56,4,129,422,345,52,1.98e-55,211
"5849","ASV6153","NODE_20_length_935_cov_380.679455",85.301,449,51,12,1,441,493,52,4.05e-127,449
"5850","ASV6153","NODE_32_length_255_cov_157.070312",93.421,76,5,0,366,441,1,76,6.03e-26,113
"5851","ASV6153","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,366,441,1,76,6.03e-26,113
"5852","ASV6154","NODE_20_length_935_cov_380.679455",83.784,444,68,4,1,442,493,52,1.14e-117,418
"5853","ASV6155","NODE_20_length_935_cov_380.679455",81.757,296,50,3,129,422,345,52,1.96e-65,244
"5854","ASV6157","NODE_20_length_935_cov_380.679455",80.808,297,52,5,129,423,345,52,1.98e-60,228
"5855","ASV6158","NODE_20_length_935_cov_380.679455",80.464,302,57,2,122,422,352,52,5.48e-61,230
"5856","ASV6159","NODE_20_length_935_cov_380.679455",81.757,296,51,3,124,418,345,52,1.94e-65,244
"5857","ASV6162","NODE_20_length_935_cov_380.679455",77.605,451,83,15,1,442,493,52,2.64e-69,257
"5858","ASV6163","NODE_20_length_935_cov_380.679455",80.612,294,57,0,129,422,345,52,1.97e-60,228
"5859","ASV6164","NODE_20_length_935_cov_380.679455",99.32,294,2,0,134,427,345,52,3.78e-152,532
"5860","ASV6164","NODE_32_length_255_cov_157.070312",100,76,0,0,352,427,1,76,2.67e-34,141
"5861","ASV6164","NODE_19_length_1017_cov_348.064045",100,76,0,0,352,427,1,76,2.67e-34,141
"5862","ASV6166","NODE_20_length_935_cov_380.679455",95.016,321,14,2,103,422,371,52,2.92e-143,503
"5863","ASV6166","NODE_32_length_255_cov_157.070312",98.684,76,1,0,347,422,1,76,1.23e-32,135
"5864","ASV6166","NODE_19_length_1017_cov_348.064045",98.684,76,1,0,347,422,1,76,1.23e-32,135
"5865","ASV6167","NODE_20_length_935_cov_380.679455",79.392,296,57,4,127,420,345,52,9.19e-54,206
"5866","ASV6168","NODE_20_length_935_cov_380.679455",88.776,294,33,0,129,422,345,52,1.86e-100,361
"5867","ASV6173","NODE_20_length_935_cov_380.679455",80.339,295,56,2,129,422,345,52,9.17e-59,222
"5868","ASV6173","NODE_32_length_255_cov_157.070312",90.667,75,7,0,348,422,2,76,4.48e-22,100
"5869","ASV6173","NODE_19_length_1017_cov_348.064045",90.667,75,7,0,348,422,2,76,4.48e-22,100
"5870","ASV6174","NODE_20_length_935_cov_380.679455",83.673,294,48,0,129,422,345,52,1.93e-75,278
"5871","ASV6174","NODE_32_length_255_cov_157.070312",90.789,76,7,0,347,422,1,76,1.25e-22,102
"5872","ASV6174","NODE_19_length_1017_cov_348.064045",90.789,76,7,0,347,422,1,76,1.25e-22,102
"5873","ASV6175","NODE_20_length_935_cov_380.679455",86.486,444,56,4,1,442,493,52,1.11e-137,484
"5874","ASV6177","NODE_20_length_935_cov_380.679455",80,295,57,2,129,422,345,52,4.27e-57,217
"5875","ASV6178","NODE_20_length_935_cov_380.679455",88.641,449,38,11,1,443,493,52,1.09e-152,534
"5876","ASV6184","NODE_20_length_935_cov_380.679455",83.482,448,63,11,1,443,493,52,2.48e-114,407
"5877","ASV6187","NODE_20_length_935_cov_380.679455",80.308,325,54,10,103,422,371,52,3.27e-63,237
"5878","ASV6188","NODE_20_length_935_cov_380.679455",86.86,449,45,12,1,442,493,52,2.39e-139,490
"5879","ASV6188","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5880","ASV6188","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5881","ASV6189","NODE_20_length_935_cov_380.679455",93.498,323,15,5,123,442,371,52,6.69e-135,475
"5882","ASV6189","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5883","ASV6189","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5884","ASV6191","NODE_20_length_935_cov_380.679455",90.359,446,35,8,1,442,493,52,4.96e-166,579
"5885","ASV6191","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5886","ASV6191","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5887","ASV6192","NODE_20_length_935_cov_380.679455",83.784,296,44,4,132,425,345,52,1.94e-75,278
"5888","ASV6193","NODE_20_length_935_cov_380.679455",79.321,324,59,8,103,422,371,52,3.3e-58,220
"5889","ASV6195","NODE_20_length_935_cov_380.679455",81.481,297,49,6,129,422,345,52,9.1e-64,239
"5890","ASV6197","NODE_20_length_935_cov_380.679455",81.419,296,51,4,133,426,345,52,9.19e-64,239
"5891","ASV6199","NODE_20_length_935_cov_380.679455",76.327,452,87,18,1,442,493,52,2.68e-59,224
"5892","ASV6200","NODE_20_length_935_cov_380.679455",77.655,452,81,18,1,442,493,52,2.64e-69,257
"5893","ASV6202","NODE_20_length_935_cov_380.679455",79.322,295,59,2,140,433,345,52,9.49e-54,206
"5894","ASV6204","NODE_20_length_935_cov_380.679455",78.571,322,65,4,103,422,371,52,7.14e-55,209
"5895","ASV6206","NODE_20_length_935_cov_380.679455",81.728,301,53,2,118,417,351,52,4.15e-67,250
"5896","ASV6207","NODE_20_length_935_cov_380.679455",81.633,294,54,0,129,422,345,52,1.96e-65,244
"5897","ASV6208","NODE_20_length_935_cov_380.679455",92.203,295,21,2,127,420,345,52,3.9e-117,416
"5898","ASV6208","NODE_32_length_255_cov_157.070312",93.421,76,5,0,345,420,1,76,5.73e-26,113
"5899","ASV6208","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,345,420,1,76,5.73e-26,113
"5900","ASV6209","NODE_20_length_935_cov_380.679455",92.359,301,21,2,118,417,351,52,1.79e-120,427
"5901","ASV6209","NODE_32_length_255_cov_157.070312",93.421,76,5,0,342,417,1,76,5.68e-26,113
"5902","ASV6209","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,342,417,1,76,5.68e-26,113
"5903","ASV6211","NODE_20_length_935_cov_380.679455",77.827,451,82,15,1,442,493,52,5.67e-71,263
"5904","ASV6212","NODE_20_length_935_cov_380.679455",82.55,447,67,9,1,441,493,52,4.16e-107,383
"5905","ASV6214","NODE_20_length_935_cov_380.679455",81.356,295,53,2,129,422,345,52,9.1e-64,239
"5906","ASV6215","NODE_20_length_935_cov_380.679455",90.766,444,37,4,1,442,493,52,2.29e-169,590
"5907","ASV6215","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"5908","ASV6215","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"5909","ASV6216","NODE_20_length_935_cov_380.679455",81.081,296,52,4,129,422,345,52,4.24e-62,233
"5910","ASV6217","NODE_20_length_935_cov_380.679455",79.148,446,71,13,1,428,493,52,9.05e-79,289
"5911","ASV6221","NODE_20_length_935_cov_380.679455",80.471,297,53,5,131,425,345,52,9.24e-59,222
"5912","ASV6223","NODE_20_length_935_cov_380.679455",79.556,450,76,14,1,442,493,52,2.58e-84,307
"5913","ASV6224","NODE_20_length_935_cov_380.679455",78.644,295,61,2,149,442,345,52,2.1e-50,195
"5914","ASV6225","NODE_20_length_935_cov_380.679455",77.009,448,91,11,1,442,493,52,5.71e-66,246
"5915","ASV6226","NODE_20_length_935_cov_380.679455",79.51,449,78,13,1,442,493,52,2.58e-84,307
"5916","ASV6227","NODE_20_length_935_cov_380.679455",84.494,445,62,7,1,441,493,52,4.07e-122,433
"5917","ASV6229","NODE_20_length_935_cov_380.679455",81.633,294,54,0,129,422,345,52,1.96e-65,244
"5918","ASV6230","NODE_20_length_935_cov_380.679455",79.73,296,56,4,129,422,345,52,1.98e-55,211
"5919","ASV6231","NODE_20_length_935_cov_380.679455",88.514,444,46,5,1,441,493,52,3.91e-152,532
"5920","ASV6232","NODE_20_length_935_cov_380.679455",84.685,444,63,5,1,441,493,52,8.76e-124,438
"5921","ASV6233","NODE_20_length_935_cov_380.679455",79.322,295,59,2,129,422,345,52,9.23e-54,206
"5922","ASV6235","NODE_20_length_935_cov_380.679455",75.676,444,85,18,1,423,493,52,4.31e-52,200
"5923","ASV6236","NODE_20_length_935_cov_380.679455",90.068,443,42,2,1,442,493,52,2.31e-164,573
"5924","ASV6236","NODE_32_length_255_cov_157.070312",97.368,76,2,0,367,442,1,76,6e-31,130
"5925","ASV6236","NODE_19_length_1017_cov_348.064045",97.368,76,2,0,367,442,1,76,6e-31,130
"5926","ASV6237","NODE_20_length_935_cov_380.679455",93.898,295,16,2,129,422,345,52,1.8e-125,444
"5927","ASV6237","NODE_32_length_255_cov_157.070312",94.737,76,4,0,347,422,1,76,1.24e-27,119
"5928","ASV6237","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,347,422,1,76,1.24e-27,119
"5929","ASV6238","NODE_20_length_935_cov_380.679455",90.135,446,36,8,1,442,493,52,2.31e-164,573
"5930","ASV6240","NODE_20_length_935_cov_380.679455",81.757,296,50,4,129,422,345,52,1.96e-65,244
"5931","ASV6241","NODE_20_length_935_cov_380.679455",95.254,295,12,2,125,418,345,52,3.8e-132,466
"5932","ASV6241","NODE_32_length_255_cov_157.070312",94.737,76,4,0,343,418,1,76,1.22e-27,119
"5933","ASV6241","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,343,418,1,76,1.22e-27,119
"5934","ASV6242","NODE_20_length_935_cov_380.679455",89.038,447,39,10,1,442,493,52,5.03e-156,545
"5935","ASV6244","NODE_20_length_935_cov_380.679455",91.461,445,32,5,1,442,493,52,2.27e-174,606
"5936","ASV6244","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5937","ASV6244","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5938","ASV6245","NODE_20_length_935_cov_380.679455",86.036,444,38,15,1,422,493,52,8.3e-129,455
"5939","ASV6245","NODE_32_length_255_cov_157.070312",94.737,76,4,0,347,422,1,76,1.24e-27,119
"5940","ASV6245","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,347,422,1,76,1.24e-27,119
"5941","ASV6246","NODE_20_length_935_cov_380.679455",88.939,443,47,2,1,442,493,52,5.03e-156,545
"5942","ASV6247","NODE_20_length_935_cov_380.679455",81.579,304,53,3,121,422,354,52,1.51e-66,248
"5943","ASV6249","NODE_20_length_935_cov_380.679455",80.186,323,53,10,125,441,369,52,1.6e-61,231
"5944","ASV6251","NODE_20_length_935_cov_380.679455",80.556,324,55,7,123,442,371,52,7.39e-65,243
"5945","ASV6253","NODE_20_length_935_cov_380.679455",80.858,303,52,6,118,417,351,52,4.18e-62,233
"5946","ASV6254","NODE_20_length_935_cov_380.679455",85.393,445,51,11,1,434,493,52,3.98e-127,449
"5947","ASV6254","NODE_32_length_255_cov_157.070312",94.737,76,4,0,359,434,1,76,1.27e-27,119
"5948","ASV6254","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,359,434,1,76,1.27e-27,119
"5949","ASV6255","NODE_20_length_935_cov_380.679455",80.135,297,53,6,129,422,345,52,4.27e-57,217
"5950","ASV6257","NODE_20_length_935_cov_380.679455",77.079,445,76,20,1,422,493,52,4.24e-62,233
"5951","ASV6258","NODE_20_length_935_cov_380.679455",77.506,449,87,11,1,442,493,52,2.64e-69,257
"5952","ASV6259","NODE_20_length_935_cov_380.679455",81.544,298,46,8,132,424,345,52,3.29e-63,237
"5953","ASV6261","NODE_20_length_935_cov_380.679455",83.108,296,46,4,129,422,345,52,4.18e-72,267
"5954","ASV6263","NODE_20_length_935_cov_380.679455",77.655,452,81,18,1,442,493,52,2.64e-69,257
"5955","ASV6264","NODE_20_length_935_cov_380.679455",82.838,303,46,5,118,417,351,52,4.12e-72,267
"5956","ASV6266","NODE_20_length_935_cov_380.679455",78.333,300,53,12,125,418,345,52,4.28e-47,183
"5957","ASV6267","NODE_20_length_935_cov_380.679455",81.115,323,55,6,103,422,371,52,3.25e-68,254
"5958","ASV6268","NODE_20_length_935_cov_380.679455",83.607,305,46,3,115,417,354,52,4.09e-77,283
"5959","ASV6270","NODE_20_length_935_cov_380.679455",89.14,442,48,0,1,442,493,52,1.08e-157,551
"5960","ASV6270","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5961","ASV6270","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5962","ASV6272","NODE_20_length_935_cov_380.679455",79.661,295,58,2,141,434,345,52,2.04e-55,211
"5963","ASV6274","NODE_20_length_935_cov_380.679455",91.216,444,35,4,1,442,493,52,1.06e-172,601
"5964","ASV6274","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5965","ASV6274","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5966","ASV6277","NODE_20_length_935_cov_380.679455",90.359,446,35,8,1,442,493,52,4.96e-166,579
"5967","ASV6278","NODE_20_length_935_cov_380.679455",90.724,442,41,0,1,442,493,52,2.29e-169,590
"5968","ASV6278","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5969","ASV6278","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5970","ASV6279","NODE_20_length_935_cov_380.679455",93.665,442,28,0,1,442,493,52,0,662
"5971","ASV6279","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5972","ASV6279","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5973","ASV6283","NODE_20_length_935_cov_380.679455",76.802,444,79,16,1,422,493,52,1.97e-60,228
"5974","ASV6285","NODE_20_length_935_cov_380.679455",87.668,446,47,6,1,442,493,52,5.1e-146,512
"5975","ASV6289","NODE_20_length_935_cov_380.679455",79.605,304,54,8,118,417,351,52,1.96e-55,211
"5976","ASV6290","NODE_20_length_935_cov_380.679455",80.068,296,55,4,129,422,345,52,4.27e-57,217
"5977","ASV6292","NODE_20_length_935_cov_380.679455",90,300,30,0,118,417,351,52,8.43e-109,388
"5978","ASV6293","NODE_20_length_935_cov_380.679455",80.339,295,56,2,129,422,345,52,9.17e-59,222
"5979","ASV6294","NODE_20_length_935_cov_380.679455",78.788,297,57,6,129,422,345,52,2e-50,195
"5980","ASV6295","NODE_20_length_935_cov_380.679455",79.91,443,87,2,1,442,493,52,2.56e-89,324
"5981","ASV6296","NODE_20_length_935_cov_380.679455",79.63,324,58,7,103,422,371,52,7.09e-60,226
"5982","ASV6297","NODE_20_length_935_cov_380.679455",81.056,322,53,7,125,442,369,52,4.42e-67,250
"5983","ASV6300","NODE_20_length_935_cov_380.679455",77.506,449,87,13,1,442,493,52,2.64e-69,257
"5984","ASV6302","NODE_20_length_935_cov_380.679455",80.537,298,50,8,127,420,345,52,9.12e-59,222
"5985","ASV6303","NODE_20_length_935_cov_380.679455",88.367,447,42,8,1,442,493,52,5.06e-151,529
"5986","ASV6303","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"5987","ASV6303","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"5988","ASV6304","NODE_20_length_935_cov_380.679455",78.086,324,63,8,103,422,371,52,1.54e-51,198
"5989","ASV6305","NODE_20_length_935_cov_380.679455",80.198,303,57,3,119,419,353,52,2.53e-59,224
"5990","ASV6306","NODE_20_length_935_cov_380.679455",80.405,296,54,4,129,422,345,52,9.17e-59,222
"5991","ASV6307","NODE_20_length_935_cov_380.679455",77.605,451,83,17,1,442,493,52,2.64e-69,257
"5992","ASV6308","NODE_20_length_935_cov_380.679455",79.372,446,83,9,1,441,493,52,9.27e-84,305
"5993","ASV6311","NODE_20_length_935_cov_380.679455",79.322,295,59,2,129,422,345,52,9.23e-54,206
"5994","ASV6312","NODE_20_length_935_cov_380.679455",95.349,301,12,2,118,417,351,52,1.75e-135,477
"5995","ASV6312","NODE_32_length_255_cov_157.070312",94.737,76,4,0,342,417,1,76,1.22e-27,119
"5996","ASV6312","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,342,417,1,76,1.22e-27,119
"5997","ASV6313","NODE_20_length_935_cov_380.679455",87.277,448,45,10,1,442,493,52,1.1e-142,501
"5998","ASV6313","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"5999","ASV6313","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"6000","ASV6322","NODE_20_length_935_cov_380.679455",89.462,446,39,8,1,442,493,52,2.32e-159,556
"6001","ASV6322","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"6002","ASV6322","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"6003","ASV6324","NODE_20_length_935_cov_380.679455",95.254,295,12,2,124,417,345,52,3.79e-132,466
"6004","ASV6324","NODE_32_length_255_cov_157.070312",94.737,76,4,0,342,417,1,76,1.22e-27,119
"6005","ASV6324","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,342,417,1,76,1.22e-27,119
"6006","ASV6325","NODE_20_length_935_cov_380.679455",94.915,295,13,2,124,417,345,52,1.76e-130,460
"6007","ASV6325","NODE_32_length_255_cov_157.070312",94.737,76,4,0,342,417,1,76,1.22e-27,119
"6008","ASV6325","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,342,417,1,76,1.22e-27,119
"6009","ASV6326","NODE_20_length_935_cov_380.679455",80.471,297,53,5,129,423,345,52,9.19e-59,222
"6010","ASV6328","NODE_20_length_935_cov_380.679455",94.915,295,13,2,124,417,345,52,1.76e-130,460
"6011","ASV6328","NODE_32_length_255_cov_157.070312",94.737,76,4,0,342,417,1,76,1.22e-27,119
"6012","ASV6328","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,342,417,1,76,1.22e-27,119
"6013","ASV6329","NODE_20_length_935_cov_380.679455",93.898,295,16,2,129,422,345,52,1.8e-125,444
"6014","ASV6329","NODE_32_length_255_cov_157.070312",94.737,76,4,0,347,422,1,76,1.24e-27,119
"6015","ASV6329","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,347,422,1,76,1.24e-27,119
"6016","ASV6333","NODE_20_length_935_cov_380.679455",85.099,302,43,2,122,422,352,52,2.46e-84,307
"6017","ASV6334","NODE_20_length_935_cov_380.679455",82.735,446,68,7,1,441,493,52,8.95e-109,388
"6018","ASV6336","NODE_20_length_935_cov_380.679455",80.743,296,53,4,129,422,345,52,1.97e-60,228
"6019","ASV6337","NODE_20_length_935_cov_380.679455",86.13,447,52,9,1,442,493,52,2.41e-134,473
"6020","ASV6337","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"6021","ASV6337","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"6022","ASV6338","NODE_20_length_935_cov_380.679455",87.585,443,53,2,1,442,493,52,5.1e-146,512
"6023","ASV6341","NODE_20_length_935_cov_380.679455",86.13,447,51,8,1,441,493,52,8.64e-134,472
"6024","ASV6342","NODE_20_length_935_cov_380.679455",78.983,295,60,2,129,422,345,52,4.3e-52,200
"6025","ASV6343","NODE_20_length_935_cov_380.679455",81.419,296,51,4,129,422,345,52,9.1e-64,239
"6026","ASV6345","NODE_20_length_935_cov_380.679455",81.081,296,52,4,130,423,345,52,4.25e-62,233
"6027","ASV6347","NODE_20_length_935_cov_380.679455",80.339,295,56,2,129,422,345,52,9.17e-59,222
"6028","ASV6348","NODE_20_length_935_cov_380.679455",75.785,446,100,7,1,442,493,52,1.25e-57,219
"6029","ASV6349","NODE_20_length_935_cov_380.679455",84.768,302,42,4,118,417,351,52,4.07e-82,300
"6030","ASV6351","NODE_20_length_935_cov_380.679455",79.661,295,58,2,129,422,345,52,1.98e-55,211
"6031","ASV6352","NODE_20_length_935_cov_380.679455",80.135,297,53,5,129,422,345,52,4.27e-57,217
"6032","ASV6356","NODE_20_length_935_cov_380.679455",82.095,296,49,4,129,422,345,52,4.21e-67,250
"6033","ASV6357","NODE_20_length_935_cov_380.679455",82.373,295,50,2,133,426,345,52,9.13e-69,255
"6034","ASV6358","NODE_20_length_935_cov_380.679455",88.475,295,32,2,133,426,345,52,8.75e-99,355
"6035","ASV6359","NODE_20_length_935_cov_380.679455",87.64,445,49,4,1,442,493,52,5.1e-146,512
"6036","ASV6361","NODE_20_length_935_cov_380.679455",77.232,448,90,12,1,442,493,52,1.23e-67,252
"6037","ASV6362","NODE_20_length_935_cov_380.679455",81.757,296,50,4,129,422,345,52,1.96e-65,244
"6038","ASV6365","NODE_20_length_935_cov_380.679455",80.808,297,52,4,129,423,345,52,1.98e-60,228
"6039","ASV6366","NODE_20_length_935_cov_380.679455",85.762,302,39,4,118,417,351,52,4.04e-87,316
"6040","ASV6367","NODE_20_length_935_cov_380.679455",86.184,304,41,1,115,418,354,52,1.87e-90,327
"6041","ASV6368","NODE_20_length_935_cov_380.679455",82.492,297,45,7,129,421,345,52,3.24e-68,254
"6042","ASV6369","NODE_20_length_935_cov_380.679455",80.089,447,78,11,1,441,493,52,9.2e-89,322
"6043","ASV6370","NODE_20_length_935_cov_380.679455",80,305,54,7,119,419,353,52,1.18e-57,219
"6044","ASV6371","NODE_20_length_935_cov_380.679455",81.695,295,52,2,129,422,345,52,1.96e-65,244
"6045","ASV6372","NODE_20_length_935_cov_380.679455",83.444,302,46,4,119,418,351,52,1.91e-75,278
"6046","ASV6373","NODE_20_length_935_cov_380.679455",77.605,451,83,15,1,442,493,52,2.64e-69,257
"6047","ASV6374","NODE_20_length_935_cov_380.679455",92.691,301,20,2,118,417,351,52,3.84e-122,433
"6048","ASV6374","NODE_32_length_255_cov_157.070312",93.421,76,5,0,342,417,1,76,5.68e-26,113
"6049","ASV6374","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,342,417,1,76,5.68e-26,113
"6050","ASV6375","NODE_20_length_935_cov_380.679455",85.491,448,52,10,1,441,493,52,8.7e-129,455
"6051","ASV6376","NODE_20_length_935_cov_380.679455",81.188,303,52,5,119,419,351,52,9.03e-64,239
"6052","ASV6377","NODE_20_length_935_cov_380.679455",76.718,451,87,16,1,442,493,52,1.24e-62,235
"6053","ASV6378","NODE_20_length_935_cov_380.679455",77.827,451,82,14,1,442,493,52,5.67e-71,263
"6054","ASV6380","NODE_20_length_935_cov_380.679455",79.322,295,59,2,143,436,345,52,9.56e-54,206
"6055","ASV6382","NODE_20_length_935_cov_380.679455",79.801,302,45,14,125,418,345,52,9.14e-54,206
"6056","ASV6384","NODE_20_length_935_cov_380.679455",81.695,295,52,2,143,436,345,52,2.02e-65,244
"6057","ASV6386","NODE_20_length_935_cov_380.679455",90.95,442,40,0,1,442,493,52,4.92e-171,595
"6058","ASV6386","NODE_32_length_255_cov_157.070312",97.368,76,2,0,367,442,1,76,6e-31,130
"6059","ASV6386","NODE_19_length_1017_cov_348.064045",97.368,76,2,0,367,442,1,76,6e-31,130
"6060","ASV6387","NODE_20_length_935_cov_380.679455",77.556,450,85,15,1,442,493,52,2.64e-69,257
"6061","ASV6388","NODE_20_length_935_cov_380.679455",79.125,297,56,4,129,422,345,52,4.3e-52,200
"6062","ASV6389","NODE_20_length_935_cov_380.679455",90.359,446,35,8,1,442,493,52,4.96e-166,579
"6063","ASV6393","NODE_20_length_935_cov_380.679455",88.09,445,47,4,1,442,493,52,2.36e-149,523
"6064","ASV6394","NODE_20_length_935_cov_380.679455",80.743,296,53,4,133,426,345,52,1.99e-60,228
"6065","ASV6395","NODE_20_length_935_cov_380.679455",76.393,305,62,9,119,418,351,52,9.34e-39,156
"6066","ASV6397","NODE_20_length_935_cov_380.679455",91.176,442,39,0,1,442,493,52,1.06e-172,601
"6067","ASV6397","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"6068","ASV6397","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"6069","ASV6398","NODE_20_length_935_cov_380.679455",76.351,296,66,4,127,420,345,52,9.38e-39,156
"6070","ASV6399","NODE_20_length_935_cov_380.679455",82.653,294,51,0,129,422,345,52,1.94e-70,261
"6071","ASV6400","NODE_20_length_935_cov_380.679455",91.694,301,23,2,118,417,351,52,3.87e-117,416
"6072","ASV6400","NODE_32_length_255_cov_157.070312",94.737,76,4,0,342,417,1,76,1.22e-27,119
"6073","ASV6400","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,342,417,1,76,1.22e-27,119
"6074","ASV6401","NODE_20_length_935_cov_380.679455",86.889,450,43,14,1,442,493,52,2.39e-139,490
"6075","ASV6401","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
